Year,Province,Month,Annual
2021,DI YOGYAKARTA,8.84,
2021,JAWA TIMUR,10.91,
2021,BANTEN,17.99,
2021,BALI,10.79,
2021,NUSA TENGGARA BARAT,6.98,
2021,NUSA TENGGARA TIMUR,7.15,
2021,KALIMANTAN BARAT,11.55,
2021,KALIMANTAN TENGAH,8.78,
2021,KALIMANTAN SELATAN,9.28,
2021,KALIMANTAN TIMUR,13.64,
2021,KALIMANTAN UTARA,9.25,
2021,SULAWESI UTARA,14.34,
2021,SULAWESI TENGAH,7.48,
2021,SULAWESI SELATAN,11.51,
2021,SULAWESI TENGGARA,8.14,
2021,GORONTALO,6.42,
2021,SULAWESI BARAT,6.41,
2021,MALUKU,13.66,
2021,MALUKU UTARA,9.77,
2021,PAPUA BARAT,12.02,
2021,PAPUA BARAT DAYA,,
2021,PAPUA,7.1,
2021,PAPUA SELATAN,,
2021,PAPUA TENGAH,,
2021,PAPUA PEGUNUNGAN,,
2022,ACEH,12.14,
2022,SUMATERA UTARA,11.63,
2022,SUMATERA BARAT,12.45,
2022,RIAU,8.77,
2022,JAMBI,9.29,
2022,SUMATERA SELATAN,9.37,
2022,BENGKULU,6.98,
2022,LAMPUNG,8.83,
2022,KEP. BANGKA BELITUNG,8.95,
2022,KEP. RIAU,16.25,
2022,DKI JAKARTA,15.18,
2022,JAWA BARAT,16.66,
2022,JAWA TENGAH,11.32,
2022,DI YOGYAKARTA,7.79,
2022,JAWA TIMUR,10.3,
2022,BANTEN,16.62,
2022,BALI,9.64,
2022,NUSA TENGGARA BARAT,6.81,
2022,NUSA TENGGARA TIMUR,6.84,
2022,KALIMANTAN BARAT,9.97,
2022,KALIMANTAN TENGAH,8.46,
2022,KALIMANTAN SELATAN,8.94,
2022,KALIMANTAN TIMUR,12.48,
2022,KALIMANTAN UTARA,8.95,
2022,SULAWESI UTARA,13.12,
2022,SULAWESI TENGAH,6.67,
2022,SULAWESI SELATAN,10.26,
2022,SULAWESI TENGGARA,7.22,
2022,GORONTALO,5.83,
2022,SULAWESI BARAT,5.45,
2022,MALUKU,13.32,
2022,MALUKU UTARA,8.96,
2022,PAPUA BARAT,11.15,
2022,PAPUA BARAT DAYA,,
2022,PAPUA,6.43,
2022,PAPUA SELATAN,,
2022,PAPUA TENGAH,,
2022,PAPUA PEGUNUNGAN,,
2023,ACEH,11.78,
2023,SUMATERA UTARA,11.13,
2023,SUMATERA BARAT,11.84,
2023,RIAU,8.48,
2023,JAMBI,9.03,
2023,SUMATERA SELATAN,8.64,
2023,BENGKULU,6.63,
2023,LAMPUNG,8.41,
2023,KEP. BANGKA BELITUNG,8.45,
2023,KEP. RIAU,14.41,
2023,DKI JAKARTA,14.1,
2023,JAWA BARAT,15.33,
2023,JAWA TENGAH,10.37,
2023,DI YOGYAKARTA,7.27,
2023,JAWA TIMUR,9.21,
2023,BANTEN,15.49,
2023,BALI,6.42,
2023,NUSA TENGGARA BARAT,6.53,
2023,NUSA TENGGARA TIMUR,6.24,
2023,KALIMANTAN BARAT,9.57,
2023,KALIMANTAN TENGAH,7.94,
2023,KALIMANTAN SELATAN,8.26,
2023,KALIMANTAN TIMUR,11.68,
2023,KALIMANTAN UTARA,8.11,
2023,SULAWESI UTARA,12.29,
2023,SULAWESI TENGAH,6.44,
2023,SULAWESI SELATAN,9.59,
2023,SULAWESI TENGGARA,6.81,
2023,GORONTALO,6.13,
2023,SULAWESI BARAT,5.31,
2023,MALUKU,12.39,
2023,MALUKU UTARA,8.91,
2023,PAPUA BARAT,10.91,
2023,PAPUA BARAT DAYA,,
2023,PAPUA,6.16,
2023,PAPUA SELATAN,,
2023,PAPUA TENGAH,,
2023,PAPUA PEGUNUNGAN,,
2024,ACEH,11.31,
2024,SUMATERA UTARA,10.7,
2024,SUMATERA BARAT,11.54,
2024,RIAU,7.55,
2024,JAMBI,8.93,
2024,SUMATERA SELATAN,7.83,
2024,BENGKULU,6.28,
2024,LAMPUNG,8.31,
2024,KEP. BANGKA BELITUNG,8.48,
2024,KEP. RIAU,13.33,
2024,DKI JAKARTA,12.24,
2024,JAWA BARAT,13.66,
2024,JAWA TENGAH,9.17,
2024,DI YOGYAKARTA,6.72,
2024,JAWA TIMUR,7.93,
2024,BANTEN,13.7,
2024,BALI,3.66,
2024,NUSA TENGGARA BARAT,6.03,
2024,NUSA TENGGARA TIMUR,6.19,
2024,KALIMANTAN BARAT,9.06,
2024,KALIMANTAN TENGAH,7.68,
2024,KALIMANTAN SELATAN,8.09,
2024,KALIMANTAN TIMUR,10.89,
2024,KALIMANTAN UTARA,7.91,
2024,SULAWESI UTARA,11.83,
2024,SULAWESI TENGAH,6.09,
2024,SULAWESI SELATAN,9.09,
2024,SULAWESI TENGGARA,6.31,
2024,GORONTALO,6.18,
2024,SULAWESI BARAT,5.7,
2024,MALUKU,12.07,
2024,MALUKU UTARA,8.19,
2024,PAPUA BARAT,8.44,
2024,PAPUA BARAT DAYA,12.5,
2024,PAPUA,12.29,
2024,PAPUA SELATAN,8.8,
2024,PAPUA TENGAH,5.24,
2024,PAPUA PEGUNUNGAN,2.5,
2025,ACEH,5.5,
2025,SUMATERA UTARA,5.05,
2025,SUMATERA BARAT,5.69,
2025,RIAU,4.12,
2025,JAMBI,4.48,
2025,SUMATERA SELATAN,3.89,
2025,BENGKULU,3.24,
2025,LAMPUNG,4.07,
2025,KEP. BANGKA BELITUNG,4.17,
2025,KEP. RIAU,6.89,
2025,DKI JAKARTA,6.18,
2025,JAWA BARAT,6.74,
2025,JAWA TENGAH,4.33,
2025,DI YOGYAKARTA,3.18,
2025,JAWA TIMUR,3.61,
2025,BANTEN,6.64,
2025,BALI,1.58,
2025,NUSA TENGGARA BARAT,3.22,
2025,NUSA TENGGARA TIMUR,3.23,
2025,KALIMANTAN BARAT,4.23,
2025,KALIMANTAN TENGAH,3.47,
2025,KALIMANTAN SELATAN,3.94,
2025,KALIMANTAN TIMUR,5.33,
2025,KALIMANTAN UTARA,3.9,
2025,SULAWESI UTARA,6.03,
2025,SULAWESI TENGAH,3.02,
2025,SULAWESI SELATAN,4.96,
2025,SULAWESI TENGGARA,3.27,
2025,GORONTALO,3.12,
2025,SULAWESI BARAT,3.17,
2025,MALUKU,5.95,
2025,MALUKU UTARA,4.26,
2025,PAPUA BARAT,4.21,
2025,PAPUA BARAT DAYA,6.61,
2025,PAPUA,6.92,
2025,PAPUA SELATAN,4.9,
2025,PAPUA TENGAH,3.55,
2025,PAPUA PEGUNUNGAN,1.68,
